Education,Marital_Status,Income,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp5,AcceptedCmp1,Age,is_parent,total_spend
Graduation,Widow,42429.0,2,1,1,3,5,False,False,48,False,67
Postgraduate,Divorced,48948.0,2,7,10,5,6,False,False,78,False,902
Graduation,Married,80011.0,2,8,6,5,4,False,False,41,False,1395
Postgraduate,Married,20559.0,2,2,0,3,8,False,False,36,False,53
Graduation,Together,21994.0,1,0,0,3,5,False,False,64,False,22
Postgraduate,Married,7500.0,3,2,0,3,5,False,False,46,False,31
Graduation,Single,79941.0,1,2,4,9,1,False,False,45,False,984
Postgraduate,Married,7500.0,3,3,1,3,9,False,False,25,False,122
Graduation,Together,41728.0,1,2,0,2,10,False,False,53,False,55
Postgraduate,Married,72550.0,9,5,2,12,8,False,False,67,True,1319
Graduation,Widow,65486.0,1,4,2,10,2,False,False,64,False,507
Postgraduate,Married,79143.0,1,6,9,13,3,False,False,57,False,1693
Graduation,Single,35790.0,2,2,0,3,7,False,False,44,False,72
Graduation,Divorced,82582.0,1,4,9,7,1,False,True,44,False,1617
Graduation,Married,66373.0,7,4,2,10,3,False,False,43,True,606
Postgraduate,Together,82384.0,1,3,10,13,1,True,False,66,False,1957
Graduation,Divorced,70287.0,1,5,5,10,3,False,False,55,False,1093
Graduation,Single,27938.0,1,1,0,4,3,False,False,33,False,29
Postgraduate,Married,55954.0,3,8,2,6,7,False,False,53,False,518
Postgraduate,Single,75777.0,1,3,6,11,1,True,False,39,False,1438
Graduation,Together,66653.0,4,4,2,12,3,False,False,46,True,612
Graduation,Single,61823.0,4,8,2,10,7,False,False,69,False,884
Postgraduate,Widow,67680.0,1,7,3,8,5,False,False,70,False,606
Graduation,Together,70666.0,1,7,4,4,4,False,False,73,False,1076
Graduation,Married,25721.0,1,1,1,2,7,False,False,50,False,34
Graduation,Together,32474.0,1,1,0,2,7,False,False,54,True,11
Postgraduate,Single,88194.0,1,11,10,10,5,False,True,42,False,1274
Graduation,Together,69096.0,1,5,2,10,4,False,False,63,False,653
Graduation,Together,74854.0,7,2,5,5,5,False,False,51,False,1562
Postgraduate,Married,66991.0,3,4,8,6,3,False,False,67,False,1253
Graduation,Married,65031.0,4,10,3,13,7,False,False,62,False,863
Postgraduate,Married,60631.0,5,9,2,8,7,False,False,46,True,661
Graduation,Married,28332.0,1,2,1,4,2,False,False,69,False,65
Graduation,Divorced,40246.0,1,1,0,2,6,False,False,44,False,13
Postgraduate,Married,75251.0,1,7,6,5,5,False,False,49,False,1890
Graduation,Single,75825.0,0,5,8,9,4,False,False,45,False,2209
Postgraduate,Together,26326.0,1,0,0,3,3,False,False,45,False,18
Graduation,Together,56046.0,2,10,1,8,8,False,False,56,False,692
Graduation,Single,29760.0,4,3,1,4,8,False,False,36,False,165
Graduation,Married,26304.0,1,1,0,2,7,False,False,52,False,16
Postgraduate,Married,23559.0,3,3,0,3,7,False,False,48,False,79
Postgraduate,Together,38620.0,1,2,5,3,3,False,False,58,False,318
Graduation,Divorced,81361.0,1,3,10,13,1,False,False,34,False,778
Graduation,Married,29440.0,2,1,0,4,7,False,False,61,True,56
Postgraduate,Married,36138.0,5,3,1,4,7,False,False,51,True,151
Graduation,Single,50388.0,4,6,1,6,7,False,True,64,False,372
Graduation,Married,79593.0,1,5,6,7,2,True,False,48,False,1366
Graduation,Together,54178.0,1,2,2,5,2,False,False,54,False,194
Postgraduate,Single,42394.0,1,1,0,3,7,False,False,49,False,32
Postgraduate,Married,23626.0,3,3,1,3,5,False,False,51,False,43
Graduation,Married,30096.0,1,2,0,3,6,False,False,38,False,45
Graduation,Widow,47916.0,5,7,4,6,6,False,False,61,False,606
Graduation,Divorced,51813.0,2,2,0,3,7,False,False,49,True,63
Postgraduate,Married,78497.0,1,5,7,12,2,False,True,70,False,978
Postgraduate,Married,50150.0,2,5,2,7,5,False,False,38,False,410
Postgraduate,Single,47823.0,2,2,0,3,8,False,False,61,False,72
Postgraduate,Single,34554.0,2,2,0,3,6,False,False,62,False,55
Graduation,Together,85693.0,2,9,5,11,5,False,False,42,False,1169
Postgraduate,Married,65846.0,1,6,3,6,4,False,False,76,False,1120
Graduation,Married,87195.0,1,3,11,5,1,False,False,62,False,1097
Basic,Together,24594.0,1,1,0,3,5,False,False,42,False,29
Graduation,Married,49096.0,4,4,1,4,7,False,False,57,True,187
Graduation,Married,52413.0,4,6,4,12,6,False,False,52,True,910
Graduation,Single,38557.0,2,3,1,3,7,False,False,43,False,145
Postgraduate,Married,89058.0,1,5,4,4,2,False,False,61,False,850
Graduation,Together,77298.0,1,6,6,11,3,False,False,42,False,969
Postgraduate,Single,68126.0,1,7,4,5,9,False,False,30,False,1820
Postgraduate,Together,57288.0,3,8,1,8,6,False,False,58,False,608
Graduation,Single,86037.0,1,6,7,11,3,True,False,30,False,730
Postgraduate,Married,43974.0,5,6,4,6,7,False,False,41,False,551
Graduation,Single,50785.0,2,2,1,3,6,False,False,59,True,114
Graduation,Married,90765.0,0,4,6,5,1,True,True,51,False,1724
Postgraduate,Married,36550.0,5,9,1,5,9,False,False,43,False,577
Postgraduate,Together,30753.0,2,1,1,3,5,False,False,54,True,81
Graduation,Together,21918.0,2,2,0,3,6,False,False,52,False,33
Postgraduate,Together,56129.0,4,6,2,10,4,False,False,68,False,660
Postgraduate,Single,32557.0,3,2,1,3,5,False,False,54,False,80
Postgraduate,Married,19510.0,2,1,0,3,7,False,False,36,True,30
Graduation,Divorced,30992.0,1,1,0,3,7,False,False,45,False,43
Graduation,Single,101970.0,0,6,8,13,2,True,True,38,False,1135
Postgraduate,Together,71488.0,2,3,4,7,1,False,False,56,False,559
Graduation,Single,79607.0,1,3,6,6,1,False,False,37,False,1923
Postgraduate,Married,54348.0,2,2,0,4,6,False,False,68,True,90
Postgraduate,Together,77376.0,4,6,3,10,4,False,False,65,True,661
Graduation,Married,62998.0,5,5,4,5,5,False,False,69,False,463
Graduation,Married,73448.0,1,7,2,9,4,False,False,52,False,725
Postgraduate,Married,41551.0,5,5,1,5,8,False,False,57,True,279
Postgraduate,Together,62981.0,1,4,5,13,3,False,False,54,False,1482
Basic,Divorced,9548.0,2,1,0,3,8,False,False,45,False,29
Postgraduate,Married,33762.0,3,2,2,2,8,False,False,62,False,106
Postgraduate,Divorced,36921.0,2,2,0,3,7,False,False,56,True,38
Postgraduate,Single,92859.0,1,5,4,12,2,False,False,29,False,2077
Postgraduate,Together,65104.0,2,3,5,7,7,False,False,45,False,1053
Graduation,Married,86111.0,1,5,7,10,2,False,False,59,False,1385
Postgraduate,Single,68352.0,3,8,5,9,6,False,False,47,False,871
Graduation,Together,41883.0,3,4,2,3,7,False,False,33,False,312
Graduation,Married,59809.0,3,3,3,6,8,False,False,45,True,877
Graduation,Married,23957.0,1,2,0,3,6,False,False,46,False,68
Graduation,Together,38547.0,1,1,0,2,8,False,False,40,False,22
Postgraduate,Married,35688.0,7,4,1,4,8,False,False,48,False,211
Postgraduate,Married,49605.0,1,2,1,4,3,False,False,55,False,127
Postgraduate,Married,59354.0,1,4,4,7,3,False,False,68,True,459
Graduation,Married,65747.0,4,8,1,6,6,False,False,52,False,460
Postgraduate,Together,46344.0,4,7,1,5,7,False,False,49,False,429
Postgraduate,Together,61010.0,2,8,5,11,5,False,False,69,False,1021
Graduation,Together,69372.0,1,10,4,6,4,True,False,72,False,1381
Graduation,Single,49967.0,3,6,1,5,7,False,False,63,False,306
Graduation,Single,60199.0,1,0,0,3,4,False,False,43,False,18
Graduation,Together,55375.0,1,1,1,6,2,False,False,44,False,162
Graduation,Single,80317.0,1,3,4,10,1,False,False,66,False,1231
Postgraduate,Single,30523.0,1,1,0,2,7,False,False,63,False,13
Postgraduate,Married,70356.0,2,10,6,9,6,False,False,76,False,1706
Graduation,Married,23228.0,4,3,0,4,8,False,False,37,False,121
Postgraduate,Divorced,74165.0,1,5,4,10,2,False,False,46,False,1293
Postgraduate,Married,157243.0,15,0,22,0,0,False,False,48,False,1608
Graduation,Together,43482.0,3,2,0,4,6,False,False,55,False,88
Graduation,Divorced,62551.0,1,6,7,4,3,False,False,68,False,421
Graduation,Divorced,52332.0,1,3,2,6,4,False,False,62,False,259
Graduation,Single,66951.0,1,3,4,7,1,False,False,33,False,1117
Graduation,Together,26091.0,3,2,1,3,5,False,False,64,True,89
Graduation,Together,33456.0,2,1,0,3,7,False,False,56,True,36
Graduation,Married,28718.0,2,2,0,3,8,False,False,39,False,57
Graduation,Married,50447.0,1,3,1,3,6,False,False,51,True,148
Postgraduate,Together,53537.0,2,2,1,3,5,False,False,62,True,93
Graduation,Single,52074.0,1,2,2,2,4,False,False,54,False,119
Postgraduate,Married,80427.0,1,11,8,8,5,False,False,46,False,1835
Postgraduate,Married,83837.0,1,9,10,5,4,False,True,73,False,1318
Postgraduate,Married,38853.0,2,2,0,3,7,False,False,51,True,45
Graduation,Together,38285.0,1,0,0,3,2,False,False,62,False,10
Postgraduate,Married,78497.0,1,5,7,12,2,False,True,70,False,978
Postgraduate,Married,51650.0,1,4,1,4,5,False,False,45,False,191
Postgraduate,Married,16248.0,3,2,1,3,6,False,False,33,False,57
Postgraduate,Married,66835.0,1,6,4,13,2,False,False,75,False,1033
Postgraduate,Married,30477.0,1,1,1,3,6,False,False,37,False,66
Basic,Married,28249.0,1,2,0,3,6,False,False,60,False,43
Graduation,Married,25271.0,1,1,1,2,9,False,False,38,False,50
Postgraduate,Single,32303.0,2,1,0,4,5,False,False,51,False,39
Graduation,Married,61286.0,2,7,1,8,5,False,False,55,False,608
Graduation,Married,74068.0,1,4,10,9,2,False,False,45,False,1581
Postgraduate,Married,45759.0,2,2,0,3,7,False,False,57,True,68
Basic,Together,24882.0,1,1,1,2,6,False,False,43,False,80
Postgraduate,Together,66973.0,1,8,7,12,3,False,False,32,False,1282
Graduation,Married,38872.0,2,3,0,3,8,False,False,33,False,91
Graduation,Married,51148.0,4,5,1,6,6,False,False,48,True,315
Graduation,Married,31353.0,2,1,1,2,8,False,False,44,True,31
Postgraduate,Married,69661.0,1,7,3,12,3,False,False,41,False,834
Graduation,Married,80067.0,1,4,6,6,2,True,False,67,False,1600
Graduation,Married,86718.0,1,5,6,5,2,False,False,67,False,1270
Postgraduate,Single,46854.0,6,5,1,3,8,False,False,48,True,263
Graduation,Divorced,69142.0,3,8,1,7,5,False,False,69,False,535
Graduation,Single,75922.0,1,4,4,9,1,False,False,53,False,1295
Graduation,Divorced,63693.0,3,11,6,9,6,False,False,43,False,1150
Postgraduate,Together,102160.0,0,7,9,10,4,True,True,44,False,1240
Postgraduate,Single,40637.0,2,1,0,3,7,False,False,56,True,38
Postgraduate,Single,18890.0,1,0,1,2,6,False,False,37,False,35
Graduation,Together,29604.0,1,1,0,3,9,False,False,33,False,53
Postgraduate,Divorced,48721.0,6,4,2,5,6,False,False,58,True,293
Graduation,Married,44794.0,1,2,0,3,6,False,False,55,False,65
Graduation,Divorced,64497.0,5,11,4,9,8,False,False,67,False,1804
Graduation,Together,46097.0,5,3,1,6,4,False,False,65,False,241
Graduation,Together,77972.0,1,4,6,9,1,False,False,67,False,1101
Postgraduate,Married,44377.0,8,5,1,5,8,False,False,53,True,264
Postgraduate,Together,46014.0,10,7,1,8,7,False,False,47,True,541
Graduation,Married,70951.0,1,3,4,9,1,False,False,36,False,1198
Graduation,Married,41443.0,6,8,1,5,8,False,False,44,False,482
Postgraduate,Single,52195.0,1,1,0,2,8,False,False,43,False,17
Postgraduate,Married,83790.0,1,8,10,6,3,True,False,73,False,1615
Postgraduate,Widow,44551.0,2,4,1,5,7,False,False,67,False,285
Graduation,Together,69508.0,2,11,4,11,6,False,False,41,False,1135
Postgraduate,Together,45204.0,1,1,1,4,3,False,False,33,False,114
Graduation,Married,72460.0,1,3,5,7,1,False,False,52,False,1047
Postgraduate,Together,77622.0,2,6,3,11,3,False,False,51,True,714
Postgraduate,Married,30732.0,4,4,1,4,8,False,False,41,False,185
Graduation,Divorced,63887.0,5,9,6,12,6,False,False,59,False,1245
Graduation,Together,42011.0,4,3,1,4,8,False,False,43,False,189
Graduation,Together,51369.0,2,8,2,4,8,False,False,45,False,576
Graduation,Divorced,51537.0,3,2,2,11,8,False,False,69,False,1103
Postgraduate,Married,79930.0,1,3,5,8,2,False,False,49,False,1753
Postgraduate,Together,34320.0,1,1,0,2,8,False,False,35,False,17
Graduation,Single,37070.0,9,5,1,8,7,False,False,55,True,433
Postgraduate,Divorced,81975.0,1,6,3,4,7,True,False,59,False,1588
Graduation,Together,38590.0,1,1,0,2,8,False,False,50,False,22
Graduation,Single,15033.0,1,1,0,3,3,False,False,70,False,19
Postgraduate,Married,62745.0,3,7,8,11,5,False,False,56,False,1117
Postgraduate,Married,22212.0,2,2,0,4,6,False,False,46,False,69
Postgraduate,Together,23661.0,1,1,0,3,7,False,False,39,False,23
Postgraduate,Single,79761.0,1,5,2,11,3,False,False,63,False,605
Graduation,Single,7500.0,4,3,1,3,7,False,False,48,False,57
Graduation,Widow,73455.0,1,6,5,10,3,False,False,53,False,2088
Graduation,Together,64961.0,2,6,4,4,3,False,False,63,False,1009
Graduation,Single,22804.0,1,2,0,2,9,False,False,50,False,26
Graduation,Married,73687.0,1,3,9,9,2,False,True,31,False,1627
Graduation,Married,61074.0,7,11,5,8,7,False,False,63,False,1102
Postgraduate,Married,31686.0,2,1,0,3,6,False,False,57,True,17
Graduation,Married,80134.0,2,5,3,6,6,True,True,49,False,1690
Graduation,Married,75027.0,2,9,4,6,5,False,False,68,False,1390
Postgraduate,Married,67546.0,1,4,10,5,3,False,False,33,False,2126
Postgraduate,Together,65176.0,4,9,6,6,6,False,False,52,False,1531
Postgraduate,Single,31160.0,2,2,0,3,8,False,False,46,False,64
Graduation,Single,29938.0,2,1,0,3,6,False,False,36,False,26
Graduation,Divorced,102692.0,1,6,9,13,2,True,True,47,False,1112
Postgraduate,Together,26490.0,2,3,1,5,6,False,False,63,False,210
Graduation,Together,75702.0,5,4,6,11,8,False,False,54,True,1148
Postgraduate,Single,30899.0,2,1,0,3,6,False,False,47,False,33
Postgraduate,Together,63342.0,3,8,3,5,6,False,False,60,False,1101
Graduation,Single,45989.0,4,3,2,7,3,False,False,57,False,322
Graduation,Single,18701.0,4,2,0,4,5,False,False,57,True,44
Postgraduate,Single,40737.0,1,1,0,2,8,False,False,64,False,17
Graduation,Divorced,15287.0,2,1,1,2,7,False,False,42,False,31
Postgraduate,Divorced,69674.0,3,10,2,10,5,False,False,53,True,845
Postgraduate,Married,44159.0,4,4,1,6,5,False,False,51,False,275
Postgraduate,Married,37717.0,1,1,0,2,9,False,False,43,False,25
Postgraduate,Together,43776.0,6,5,2,4,8,False,False,69,True,275
Postgraduate,Married,38179.0,4,3,1,3,7,False,False,55,True,90
Graduation,Married,80124.0,1,3,7,8,1,False,False,58,False,1495
Postgraduate,Married,38097.0,4,3,2,2,7,False,False,51,True,184
Graduation,Married,72940.0,1,3,3,6,1,False,False,51,False,981
Graduation,Together,22070.0,2,2,2,2,6,False,False,51,False,67
Graduation,Single,69267.0,2,3,4,5,7,False,False,68,False,1635
Postgraduate,Single,31788.0,3,3,0,4,5,False,False,38,False,60
Postgraduate,Together,61905.0,2,4,2,4,5,False,False,46,False,231
Graduation,Married,29315.0,4,2,0,4,6,False,False,61,True,48
Graduation,Divorced,33378.0,3,2,0,4,7,False,False,58,True,99
Postgraduate,Together,66313.0,2,6,3,12,4,False,False,58,False,770
Graduation,Single,60714.0,2,7,4,10,5,False,False,65,False,957
Postgraduate,Together,77882.0,1,3,3,5,1,False,False,40,False,818
Postgraduate,Single,69867.0,1,3,5,8,1,False,True,35,False,925
Postgraduate,Divorced,63841.0,1,9,3,9,6,False,False,53,False,908
Basic,Married,24480.0,3,3,0,4,7,False,False,40,False,102
Graduation,Together,51369.0,2,8,2,4,8,False,False,45,False,576
Graduation,Together,37760.0,2,4,1,6,7,False,False,75,False,317
Postgraduate,Together,65640.0,1,5,1,8,2,False,False,47,False,461
Postgraduate,Married,44319.0,2,2,0,3,5,False,False,46,True,37
Graduation,Married,30631.0,1,3,1,2,7,False,False,47,False,70
Graduation,Together,75278.0,1,6,3,13,3,False,False,69,False,930
Postgraduate,Together,50898.0,13,6,2,12,5,False,False,65,True,859
Graduation,Widow,79946.0,1,5,11,5,3,False,False,55,False,1478
Postgraduate,Divorced,35416.0,3,7,1,5,8,False,False,72,False,390
Postgraduate,Together,32414.0,1,1,0,3,7,False,False,37,False,52
Graduation,Together,38361.0,3,3,1,3,7,False,False,52,False,137
Graduation,Married,82497.0,1,2,7,9,4,True,False,41,False,1919
Graduation,Together,16626.0,3,3,0,3,9,False,False,50,True,68
Graduation,Together,29672.0,1,0,0,3,6,False,False,56,True,25
Postgraduate,Together,55951.0,3,3,6,11,8,False,False,69,False,1374
Postgraduate,Divorced,35388.0,1,1,0,3,7,False,False,33,False,32
Postgraduate,Together,42386.0,1,3,0,3,8,False,False,35,False,100
Graduation,Single,68627.0,1,2,3,6,1,False,False,39,False,825
Postgraduate,Divorced,57912.0,5,8,3,12,5,False,False,56,False,916
Graduation,Divorced,35246.0,4,3,1,3,5,False,False,63,True,62
Postgraduate,Together,58821.0,1,9,2,9,6,False,False,65,False,728
Postgraduate,Married,46377.0,1,2,1,3,4,False,False,43,False,90
Graduation,Single,39747.0,3,5,1,4,8,False,False,33,False,273
Graduation,Together,23976.0,3,3,1,3,7,False,False,37,False,66
Postgraduate,Married,80950.0,1,6,7,9,2,False,True,60,False,1213
Graduation,Widow,27038.0,1,3,0,3,9,False,False,55,False,107
Graduation,Single,77457.0,1,2,5,10,1,True,False,74,False,1157
Postgraduate,Married,64100.0,1,8,3,6,7,False,False,57,False,546
Postgraduate,Together,42670.0,1,4,2,4,4,False,False,29,False,241
Graduation,Divorced,12571.0,4,3,1,3,6,False,False,45,False,53
Graduation,Married,22574.0,2,2,0,3,7,False,False,54,False,37
Postgraduate,Single,70893.0,1,6,6,10,3,False,False,45,False,1508
Graduation,Married,54198.0,6,3,1,6,4,False,False,55,True,235
Postgraduate,Together,28839.0,2,2,0,3,5,False,False,65,True,32
Graduation,Married,40321.0,2,3,0,3,7,False,False,49,True,102
Graduation,Single,66503.0,2,4,3,6,3,False,False,36,False,401
Graduation,Married,30833.0,2,1,0,3,5,False,False,70,True,28
Graduation,Married,64795.0,3,3,3,12,2,False,False,50,False,680
Graduation,Married,34421.0,1,1,0,2,7,False,False,47,False,30
Postgraduate,Divorced,47025.0,1,1,0,2,7,False,False,56,True,20
Postgraduate,Divorced,64325.0,5,10,3,5,7,False,False,60,False,1307
Graduation,Single,40464.0,6,8,2,8,8,False,False,68,False,630
Graduation,Married,62187.0,1,4,8,5,3,False,False,64,False,1283
Postgraduate,Divorced,14849.0,3,2,0,4,8,False,False,45,False,65
Graduation,Married,27255.0,1,1,0,3,7,False,False,37,False,37
Postgraduate,Married,54432.0,1,1,0,3,4,False,False,71,False,38
Postgraduate,Single,29999.0,4,3,1,4,8,False,False,35,False,160
Graduation,Single,24072.0,1,1,0,2,8,False,False,38,False,23
Postgraduate,Single,33996.0,1,1,1,3,4,False,False,32,False,71
Postgraduate,Married,66334.0,2,9,3,5,5,False,False,65,False,1161
Postgraduate,Married,35178.0,1,1,1,2,7,False,False,50,False,59
Graduation,Together,22010.0,2,2,0,3,8,False,False,38,False,33
Graduation,Divorced,62204.0,1,4,5,12,3,False,False,61,True,946
Graduation,Divorced,75693.0,1,11,4,6,4,True,True,53,False,1442
Graduation,Married,30675.0,1,1,0,3,8,False,False,49,False,62
Graduation,Together,83003.0,1,7,6,8,3,True,False,56,False,1674
Graduation,Single,68655.0,1,4,5,11,3,False,False,33,False,1538
Graduation,Divorced,41411.0,1,2,1,4,6,False,False,35,False,139
Postgraduate,Married,55212.0,3,4,2,11,8,False,False,52,False,1182
Postgraduate,Together,59292.0,2,3,5,8,3,False,False,71,False,507
Basic,Together,27190.0,1,1,0,2,8,False,False,48,False,18
Graduation,Divorced,82623.0,1,2,9,4,1,False,False,69,False,940
Graduation,Married,44300.0,2,1,0,3,6,False,False,56,True,42
Graduation,Divorced,84835.0,1,4,4,6,1,False,False,51,False,1190
Graduation,Widow,30372.0,3,2,0,3,7,False,False,50,True,44
Postgraduate,Married,33181.0,1,1,0,2,6,False,False,45,False,16
Graduation,Married,71113.0,4,6,7,9,4,False,False,64,False,835
Graduation,Married,71952.0,2,8,4,8,4,True,False,35,False,1443
Postgraduate,Single,69759.0,3,4,6,5,3,False,False,55,False,1029
Graduation,Married,72099.0,1,3,4,10,1,False,False,47,False,1188
Postgraduate,Single,60000.0,5,11,3,5,6,False,False,45,False,1277
Graduation,Single,38643.0,2,2,0,3,7,False,False,43,True,49
Graduation,Married,50737.0,1,2,0,4,6,False,False,66,False,99
Postgraduate,Married,68462.0,1,3,3,8,1,False,False,52,False,1670
Postgraduate,Married,65073.0,1,5,3,5,2,False,False,78,False,900
Postgraduate,Together,46681.0,2,4,6,4,5,False,False,73,True,425
Graduation,Married,78618.0,1,4,7,10,2,False,False,64,False,2153
Postgraduate,Widow,62187.0,3,6,2,10,4,False,False,52,False,636
Graduation,Married,28442.0,3,2,1,4,4,False,False,43,True,57
Postgraduate,Married,37717.0,1,1,0,2,9,False,False,43,False,25
Graduation,Married,51479.0,7,6,3,6,7,False,False,54,True,494
Graduation,Single,54803.0,2,6,2,9,4,False,False,52,False,693
Graduation,Married,79530.0,1,4,10,11,2,False,False,61,False,1348
Graduation,Divorced,31615.0,2,2,0,3,7,False,False,45,False,51
Graduation,Together,72025.0,1,4,3,8,3,False,False,59,False,1932
Postgraduate,Single,52614.0,2,2,4,8,8,False,False,46,False,990
Postgraduate,Married,35684.0,1,1,0,3,6,False,False,37,False,30
Graduation,Married,48178.0,6,5,1,4,8,False,False,46,True,254
Postgraduate,Single,29548.0,1,1,1,2,4,False,False,51,False,29
Graduation,Single,63810.0,4,4,3,12,8,False,False,55,False,1371
Postgraduate,Single,38578.0,3,3,0,3,8,False,False,49,True,73
Postgraduate,Single,46098.0,4,3,2,2,8,False,False,46,True,120
Graduation,Single,22585.0,1,1,1,2,9,False,False,51,False,81
Graduation,Single,30279.0,1,1,0,3,8,False,False,32,False,37
Postgraduate,Together,66426.0,2,3,5,10,6,False,False,60,False,1377
Graduation,Single,30822.0,1,1,0,3,7,False,False,52,False,51
Postgraduate,Married,33581.0,1,1,0,2,8,False,False,52,True,17
Graduation,Married,19986.0,1,0,0,3,7,False,False,36,False,22
Graduation,Widow,27421.0,3,4,1,6,7,False,False,67,False,324
Postgraduate,Married,35688.0,7,4,1,4,8,False,False,48,False,211
Postgraduate,Single,36143.0,1,0,1,2,3,False,False,40,False,19
Graduation,Single,10245.0,3,1,2,2,5,False,False,50,False,41
Postgraduate,Together,43795.0,3,7,3,4,7,False,False,53,False,492
Graduation,Together,63381.0,4,4,5,13,2,False,False,61,False,1005
Graduation,Together,38823.0,1,2,1,3,6,False,False,72,False,114
Postgraduate,Divorced,83664.0,3,2,2,12,5,False,False,53,True,1173
Graduation,Together,90300.0,0,5,6,8,1,True,False,42,False,1738
Postgraduate,Together,62499.0,2,3,1,6,4,False,False,42,False,222
Graduation,Single,74293.0,1,5,4,6,2,False,False,28,False,1127
Postgraduate,Married,51012.0,1,4,1,4,6,False,False,75,False,209
Postgraduate,Married,70777.0,3,5,3,12,3,False,False,53,False,787
Postgraduate,Together,68682.0,1,4,9,10,2,False,False,30,False,1598
Graduation,Married,43824.0,4,3,1,4,8,False,False,50,True,186
Graduation,Together,15345.0,2,1,1,2,8,False,False,37,False,47
Graduation,Single,23442.0,1,1,0,3,7,False,False,34,False,27
Postgraduate,Together,14515.0,4,2,2,3,7,False,False,41,False,96
Postgraduate,Divorced,31395.0,4,2,1,3,6,False,False,65,True,64
Graduation,Together,75276.0,1,9,4,9,5,False,False,56,False,1040
Graduation,Single,42373.0,5,2,1,5,5,False,False,47,True,163
Graduation,Together,30507.0,1,5,1,4,7,False,False,61,False,343
Postgraduate,Single,55521.0,9,6,3,6,7,False,False,66,False,446
Graduation,Married,48006.0,1,1,0,3,6,False,False,56,True,41
Postgraduate,Single,27213.0,3,2,0,4,8,False,False,49,False,70
Postgraduate,Divorced,65808.0,3,5,1,5,6,False,False,50,True,272
Postgraduate,Together,30351.0,1,3,0,2,9,False,False,47,False,46
Graduation,Married,50437.0,3,7,1,8,7,False,False,58,True,490
Postgraduate,Single,23616.0,2,3,0,3,8,False,False,39,False,79
Graduation,Married,53858.0,4,4,3,6,4,False,False,45,False,915
Postgraduate,Married,66465.0,3,11,9,12,6,False,True,66,False,1485
Graduation,Single,46923.0,3,5,1,7,7,False,False,34,False,369
Graduation,Together,75072.0,2,5,4,8,3,False,False,59,False,1073
Postgraduate,Married,75865.0,1,3,5,10,1,False,False,78,False,1242
Postgraduate,Together,19789.0,3,2,1,3,5,False,False,46,False,78
Graduation,Together,80134.0,1,2,7,11,5,True,True,27,False,1378
Graduation,Single,91065.0,1,7,9,9,3,True,True,40,False,1474
